,Feature,SHAP
8,balance_ratio,5.5100284
3,newbalanceOrig,2.9275305
12,type_PAYMENT,1.4553541
0,step,1.4262645
4,oldbalanceDest,0.90315133
6,balance_delta,0.9021224
10,type_CASH_OUT,0.84930784
2,oldbalanceOrg,0.77358425
1,amount,0.74736035
5,newbalanceDest,0.5192459
13,type_TRANSFER,0.3837685
7,amount_log,0.1202834
9,type_CASH_IN,0.070175335
11,type_DEBIT,0.006356787
